2018-07-18 11:01:18,016 INFO   main [SpringBootTestContextBootstrapper] Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute]
2018-07-18 11:01:18,016 INFO   main [SpringBootTestContextBootstrapper] Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@78871dc5, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6eb3ae54, org.springframework.test.context.support.DirtiesContextTestExecutionListener@567a4593, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@756de23f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@120d254, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@11d08960, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@11eb06c3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5d08f565, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7726e99a]
2018-07-18 11:01:18,022 INFO   main [SpringBootTestContextBootstrapper] Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.best.rcs.move_file.MoveFileApplicationTests], using SpringBootContextLoader
2018-07-18 11:01:18,022 INFO   main [AbstractContextLoader] Could not detect default resource locations for test class [com.best.rcs.move_file.MoveFileApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-07-18 11:01:18,022 INFO   main [AnnotationConfigContextLoaderUtils] Could not detect default configuration classes for test class [com.best.rcs.move_file.MoveFileApplicationTests]: MoveFileApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-07-18 11:01:18,028 INFO   main [SpringBootTestContextBootstrapper] Found @SpringBootConfiguration com.best.rcs.move_file.MoveFileApplication for test class com.best.rcs.move_file.MoveFileApplicationTests
2018-07-18 11:01:18,033 INFO   main [SpringBootTestContextBootstrapper] Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-07-18 11:01:18,036 INFO   main [SpringBootTestContextBootstrapper] Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext]
2018-07-18 11:01:18,036 INFO   main [SpringBootTestContextBootstrapper] Could not instantiate TestExecutionListener [org.springframework.test.context.transaction.TransactionalTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttributeSource]
2018-07-18 11:01:18,037 INFO   main [SpringBootTestContextBootstrapper] Could not instantiate TestExecutionListener [org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [org/springframework/transaction/interceptor/TransactionAttribute]
2018-07-18 11:01:18,037 INFO   main [SpringBootTestContextBootstrapper] Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1604bfba, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@11c757a1, org.springframework.test.context.support.DirtiesContextTestExecutionListener@364a1425, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3970a4fb, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@125f7833, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@39cc65b1, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1a28651c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@52061eae, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@fc85b94]
2018-07-18 11:01:18,336 INFO   main [MoveFileApplicationTests] Starting MoveFileApplicationTests on bg229562 with PID 3496 (started by BG229562 in E:\Git\new_rcs\move_file)
2018-07-18 11:01:18,337 INFO   main [MoveFileApplicationTests] No active profile set, falling back to default profiles: default
2018-07-18 11:01:18,362 INFO   main [AnnotationConfigApplicationContext] Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@5fc25637: startup date [Wed Jul 18 11:01:18 CST 2018]; root of context hierarchy
2018-07-18 11:01:18,906 INFO   main [ScheduledAnnotationBeanPostProcessor] No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2018-07-18 11:01:18,951 INFO   main [MoveFileApplicationTests] Started MoveFileApplicationTests in 0.809 seconds (JVM running for 1.525)
2018-07-18 11:01:18,998 INFO   Thread-2 [AnnotationConfigApplicationContext] Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@5fc25637: startup date [Wed Jul 18 11:01:18 CST 2018]; root of context hierarchy
